"state","district","market","commodity","variety","arrival_date","min_price","max_price","modal_price"
"Kerala","Idukki","Adimali","Coffee","Other","05/01/2018","10000","10300","10200"
"Kerala","Idukki","Adimali","Coffee","Other","09/01/2018","10500","10700","10600"
"Kerala","Idukki","Adimali","Coffee","Other","12/01/2018","10500","10700","10600"
"Kerala","Idukki","Adimali","Coffee","Other","16/01/2018","10400","10600","10500"
"Kerala","Idukki","Adimali","Coffee","Other","19/01/2018","10500","10700","10600"
"Kerala","Idukki","Adimali","Coffee","Other","23/01/2018","10700","10900","10800"
"Kerala","Idukki","Adimali","Coffee","Other","30/01/2018","10800","11000","10900"
"Kerala","Idukki","Adimali","Coffee","Other","02/02/2018","10800","11000","10900"
"Kerala","Idukki","Adimali","Coffee","Other","09/02/2018","11000","11200","11100"
"Kerala","Idukki","Adimali","Coffee","Other","16/02/2018","11000","11200","11100"
"Kerala","Idukki","Adimali","Coffee","Other","20/02/2018","11000","11200","11100"
"Kerala","Idukki","Adimali","Coffee","Other","27/02/2018","11100","11300","11200"
"Kerala","Idukki","Adimali","Coffee","Other","02/03/2018","11000","11200","11100"
"Kerala","Idukki","Adimali","Coffee","Other","06/03/2018","11200","11400","11300"
"Kerala","Idukki","Adimali","Coffee","Other","09/03/2018","11200","11400","11300"
"Kerala","Idukki","Adimali","Coffee","Other","13/03/2018","11200","11400","11300"
"Kerala","Idukki","Adimali","Coffee","Other","16/03/2018","11200","11400","11300"
"Kerala","Idukki","Adimali","Coffee","Other","20/03/2018","11200","11400","11300"
"Kerala","Idukki","Adimali","Coffee","Other","23/03/2018","11200","11400","11300"
"Kerala","Idukki","Adimali","Coffee","Other","27/03/2018","11100","11300","11200"
"Kerala","Idukki","Adimali","Coffee","Other","06/04/2018","11100","11300","11200"
"Kerala","Idukki","Adimali","Coffee","Other","13/04/2018","11100","11300","11200"
"Kerala","Idukki","Adimali","Coffee","Other","17/04/2018","11100","11300","11200"
"Kerala","Idukki","Adimali","Coffee","Other","11/05/2018","1100","1300","1200"
"Kerala","Idukki","Adimali","Coffee","Other","15/05/2018","650","670","660"
"Kerala","Idukki","Adimali","Coffee","Other","18/05/2018","650","670","660"
"Kerala","Idukki","Adimali","Coffee","Other","25/05/2018","650","670","660"
"Kerala","Idukki","Adimali","Coffee","Other","01/06/2018","1900","1930","1920"
"Kerala","Idukki","Adimali","Coffee","Other","05/06/2018","1900","1930","1920"
"Kerala","Idukki","Adimali","Coffee","Other","08/06/2018","1900","1930","1920"
"Kerala","Idukki","Adimali","Coffee","Other","12/06/2018","1100","1300","1200"
"Kerala","Idukki","Adimali","Coffee","Other","19/06/2018","1800","1830","1820"
"Kerala","Idukki","Adimali","Coffee","Other","10/07/2018","1100","1300","1200"
"Kerala","Idukki","Adimali","Coffee","Other","17/07/2018","1100","1300","1200"
